,,,,,,,,,,,,,
Msg_Id,Dia_Semana,Mes,Dia_Mes,Ano,Hora,Minuto,Segundo,From_Id,From_FirstName,Chat_id,Chat_Type,Entrena,Arma
266,Saturday,November,02,2019,03,10,33,803420865,Jairo,-1001246985156,supergroup,SI,MANDOBLE
266,Saturday,November,02,2019,03,10,33,680933810,Marcel,-1001246985156,supergroup,SI,KETTE
271,Saturday,November,02,2019,03,13,28,680933810,Marcel,-1001246985156,supergroup,SI,No necesita
